"Add route","Route hinzufügen"
"Fastly CDN","Fastly CDN"
"ESI TTL for blocks","ESI TTL für Blöcke"
"TTL in seconds for certain blocks.","TTL in Sekunden für angegebene Blöcke."
"Default ESI TTL","ESI TTL Standardwert"
"TTL for ESI blocks in seconds (e.g. ""1800"" = block cache within Varnish is valid for 30 minutes).","TTL für ESI-Blöcke in Sekunden (z.B. ""1800"" = Block-Cache in Varnish ist für 30 Minuten gültig)."
"Enable ESI functionality. Deactivate Magento Enterprise Page Cache if activated before enabling ESI.","ESI-Funktionalität aktivieren. Deaktivieren Sie den Magento Enterprise Page Cache bevor Sie ESI aktivieren."
"Enable ESI","ESI aktivieren"
"Highlights ESI block with red border and echos ESI block URL.","Markiert ESI-Blöcke mit einem roten Rahmen und zeigt die ESI-Block-URL an."
"Add block","Block hinzufügen"
"ESI Passthrough","ESI Passthrough"
"Pass all ESI requests through Varnish to the backend without caching them.","Lässt alle ESI-Anfragen an das Backend durch ohne sie in Varnish zu cachen."
"ESI Strict Rendering","ESI Strict Rendering"
"When set to ""No"" block logic gets simplified to get better hit rates. However the content might slightly differ from native Magento block.","Wenn ""Nein"" ausgewählt wurde, wird die Block-Logik vereinfacht, um die Hit-Rate zu verbessern. Jedoch kann der Inhalt sich leicht von der nativen Magento-Darstellung unterscheiden."
"Disable ESI on secure requests","ESI für sichere Anfragen deaktivieren"
"Secure requests can be problematic as ESI processing with Varnish requires SSL offloading. Leave this option to ""yes"" to disable ESI blocks for secure requests.","Sichere Anfragen können problematisch sein, da für ESI-Verarbeitung in Varnish SSL-Offloading benötigt wird. Diese Option sollte auf ""ja"" stehen, um ESI-Blöcke für sichere Anfragen zu deaktivieren."
"Country","Land"
"Add mapping","Mapping hinzufügen"
"Static Cms Block","Statischer Cms Block"
"* Select store","* Store auswählen"
"* Select Static Cms Block","* Statischen Cmc Block auswählen"
"GeoIP Settings","GeoIP Einstellungen"
"Enable GeoIP","GeoIP aktivieren"
"Enable GeoIP for country/language lookup.","GeoIP aktivieren um das Land Ihrer Kunden anhand der IP Adresse zu ermitteln."
"Show a dialog","Dialog anzeigen"
"Show a dialog to select target store. Choose Yes to show CMS block content in a modal window. Choose No to redirect.","Dialog anzeigen um den gewünschten Store auszuwählen. Wählen Sie Ja um einen statischen CMS Block in einem Popup Fenster anzuzeigen. Wählen Sie Nein um die Weiterleitung zu aktivieren."
"Mapping for redirects","Zuordnungen für die Weiterleitung"
"Mapping of countries/stores to redirect to. You can use * as a wildcard.","Zuordnungen für ein Ursprungsland und einen Store zu dem weitergeleitet werden soll. Sie können * als Platzhalter verwenden."
"Mapping for static CMS blocks","Zuordnung für statische CMS Blöcke"
"Mapping of countries/static CMS blocks to display. You can use * as a wildcard.","Mapping of countries/static CMS blocks to display. Sie können * als Platzhalter verwenden."
